code,nit,name
CCFC09,N891800213,EPS-S COMFABOY
CCFC15,N891080005,EPS-S COMFACOR
CCFC20,N891600091,EPS-S COMPEN CHOCO
CCFC23,N892115006,EPS-CCFC COM GUAJIRA
CCFC24,N891180008,EPS-S COMF HUILA
CCFC27,N891280008,EPS-CCFC COMFA NARIÑO
CCFC33,N892200015,CAJA DE COMPENSACION FAMILIAR DE SUCRE
CCFC50,N890500675,EPS-S COMFAORIENTE
CCFC53,N860045904,EPS-S COMFACUNDI
CCFC55,N890102044,EPS-S CAJACOPI
EPS001,N830113831,COLMEDICA EPS
EPS002,N800130907,SALUD TOTAL S.A. ENTIDAD PROMOTORA DE SALUD
EPS003,800140949,CAFESALUD MEDICINA PREPAGADA S.A.
EPS005,N800251440,ENTIDAD PROMOTORA DE SALUD SANITAS S.A.
EPS008,N860066942,COMPENSAR ENTIDAD PROMOTORA DE SALUD
EPS010,N800088702,EPS-SURA
EPS012,N890303093,COMFENALCO VALLE E.P.S.
EPS013,N800250119,ENTIDAD PROMOTORA DE SALUD ORGANISMO COOPERATIVO SALUDCOOP
EPS016,N805000427,COOMEVA ENTIDAD PROMOTORA DE SALUD S.A.
EPS017,N830003564,ENTIDAD PROMOTORA DE SALUD FAMISANAR LIMITADA CAFAM-COLSUBSIDIO
EPS018,N805001157,ENTIDAD PROMOTORA DE SALUD SERVICIO OCCIDENTAL DE SALUD S.A. S.O.S.
EPS023,N830009783,CRUZ BLANCA ENTIDAD PROMOTORA DE SALUD S.A.
EPS033,N830074184,SALUDVIDA S.A. ENTIDAD PROMOTORA DE SALUD
EPS037,N900156264,NUEVA EPS S.A - NUEVA EMPRESA PROMOTORA DE SALUD NUEVA EPS S.A
EPS040,N900604350,ALIANZA MEDELLIN ANTIOQUIA EPS SAS (SAVIA SALUD)
EPS041,N900156264,CMRC.RECA.FOSYGA-NUEVAEPS R MOVILIDAD
EPS044,N901097473,MEDIMAS EPS SAS
EPS046,N900914254,SALUD MIA EPS
EPSC03,N800140949,CAFESALUD ENTIDAD PROMOTORA DE SALUDS.A
EPSC22,N899999107,EPS-S CONVIDA
EPSC25,N891856000,CAPRESOCA EPS
EPSC34,N900298372,RECAUDO FOSYGA CAPITAL SALUD
EPSIC1,N824001398,DUSAKAWI EPS
EPSIC2,N812002376,ASOC DE CABILDO DE RESGUARDO INDIG ZENU
EPSIC3,N817001773,ASOCIACION INDIGENA DEL CAUDA
EPSIC4,N839000495,ANAS WAYUU E P S I FOSYGA
EPSIC5,N837000084,ENTIDAD PROMOTORA DE SALUD MALLAMAS
EPSIC6,N809008362,ENTIDAD PROMOTORA DE SALUD PIJAOSALUD E
ESSC02,N811004055,EMP MUTUAL PARA EL DESAR ENDISALUD ESS
ESSC07,N806008394,EPS-S MUTUAL SER
ESSC18,N814000337,CMRC RECAUDO FOSYGA-EMSSANAR E.S.S
ESSC24,N900226715,COOSALUD ESS EPS-S
ESSC33,N804002105,EPS-S COMPARTA
ESSC62,N900935126,ASMET SALUD EPS SAS
ESSC76,N818000140,EPS-S AMBUQ ASOCIACION MUTUAL BARRIOS UNIDOS DE QUIBDO E.S.S. AMBUQ
ESSC91,N901093846,ENTIDAD COOPERATIVA SOLIDARIA “ECOOPSOS”
RES005,N890102257,UNIVERSIDAD DEL ATLANTICO
RES006,N890203183,UNIVERSIDAD DE SANT
RES007,N890399010,UNIVERSIDAD DEL VALLE
RES008,N899999063,UNIVERSIDAD NACIONAL DE COLOMBIA
RES009,N891500319,UNIVERSIDAD CAUCA
RES010,N806000509,UNIVERSIDAD DE CARTAGENA
RES011,N890980040,PROGRAMA DE SALUD DE LA UNIVERSIDAD DE A
RES012,N891080031,UNIVERSIDAD DE CORDOBA
RES013,N800118954,UNIVERSIDAD DE NARIÑO
RES014,N891800330,UPTC
